date	branch	sha	ahead	behind	files	top_dirs	subject
2026-03-14	origin	09dc49f	0	0	0		marketing: add Organizations lane + fix landing styling in dev (#232)
2026-03-14	feat/organizations-lane	a60cd07	2	1	1	marketing:1	fix(dev): restore Tailwind CDN on landing (remove broken tailwind.css link)
2026-03-14	feat/reference-screens-pass-1	9707d89	10	1	28	marketing:19,.:6,docs:2,scripts:1	feat: add Organizations lane page and nav link (dev stub survey)
2026-03-07	feat/site-shell-and-surface-routing-20260307	0ade91c	7	1	14	marketing:12,docs:1,.:1	Add intake persistence and marketplace surface
2026-03-01	dependabot/npm_and_yarn/docs/npm_and_yarn-ce05d3d025	8fa03c7	1	1	6	socioprophet-web:5,docs:1	build(deps): bump the npm_and_yarn group across 4 directories with 29 updates
2026-02-17	chore/marketing-docs-dev	9f74a26	4	2	85	docs:72,.:5,marketing:4,scripts:3,socioprophet-web:1	chore: compile Tailwind for marketing, add docs GA, add deploy script
2026-02-12	chore/docs-hygiene	56000fc	1	2	54	docs:53,.:1	docs: ignore and untrack vitepress dist/cache
2026-02-11	docs/readme-proper	eb34252	0	13	0		docs: rewrite README to reflect project scope and enforcement posture
2026-02-11	docs/architecture-threat-model	8f0f201	0	15	0		docs: add threat model
2026-02-11	docs/readme-reset	f96663b	0	18	0		docs: rewrite README and add license/security/contributing docs
2026-02-11	dependabot/npm_and_yarn/socioprophet-web/client/npm_and_yarn-ff449ba2ba	647ae74	1	19	3	socioprophet-web:3	build(deps): bump the npm_and_yarn group across 2 directories with 24 updates
2026-02-11	chore/secrets-guardrails	538179f	0	20	0		ci(secrets): gitleaks scan working tree only (no history) + use repo config
2026-02-10	codex/review-repo-for-security-compliance	1bc7591	1	49	4	.github:2,.:2	Restore CodeQL scanning and harden secret hygiene
2026-01-09	codex/resolve-security-vulnerabilities-from-dependabot	f0c41c1	0	50	0		Update dependencies and remove node-fetch
2026-01-08	codex/merge-and-update-security-pull-requests	be770a9	0	52	0		Update server dependencies for security
2026-01-08	docs/liberty-by-design	5224ebb	12	61	48	.:17,docs:11,spec:9,toolchain:6,tools:3,.github:1	ci/docs: enforce doctrine-linked specs and replay guard
2026-01-07	dependabot/npm_and_yarn/socioprophet-web/server/minimist-1.2.8	1e09e23	2	53	1	socioprophet-web:1	Merge branch 'master' into dependabot/npm_and_yarn/socioprophet-web/server/minimist-1.2.8
2025-12-31	codex/document-repository-for-users	ca0e243	0	55	0		Merge branch 'master' into codex/document-repository-for-users
2025-12-31	codex/add-comprehensive-documentation-for-repository	a124527	0	60	0		Add pedantic repository documentation
2025-12-31	codex/document-all-subdirectories-extensively	42e341b	0	60	0		Add detailed README files for project directories
